id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_wilayah,jumlah,satuan,bulan,tahun
55,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",616,ORANG,OKTOBER,2024
56,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1317,ORANG,OKTOBER,2024
57,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,186,ORANG,OKTOBER,2024
58,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,147,ORANG,OKTOBER,2024
59,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,88,ORANG,OKTOBER,2024
60,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,114,ORANG,OKTOBER,2024
61,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",542,ORANG,NOVEMBER,2024
62,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1279,ORANG,NOVEMBER,2024
63,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,179,ORANG,NOVEMBER,2024
64,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,148,ORANG,NOVEMBER,2024
65,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,89,ORANG,NOVEMBER,2024
66,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,81,ORANG,NOVEMBER,2024
67,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",615,ORANG,DESEMBER,2024
68,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1410,ORANG,DESEMBER,2024
69,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,151,ORANG,DESEMBER,2024
70,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,133,ORANG,DESEMBER,2024
71,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,79,ORANG,DESEMBER,2024
72,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,87,ORANG,DESEMBER,2024
73,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",421,ORANG,JANUARI,2023
74,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",959,ORANG,JANUARI,2023
75,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,156,ORANG,JANUARI,2023
76,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,150,ORANG,JANUARI,2023
77,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,78,ORANG,JANUARI,2023
78,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,32,ORANG,JANUARI,2023
79,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",460,ORANG,FEBRUARI,2023
80,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",817,ORANG,FEBRUARI,2023
81,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,134,ORANG,FEBRUARI,2023
82,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,123,ORANG,FEBRUARI,2023
83,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,72,ORANG,FEBRUARI,2023
84,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,71,ORANG,FEBRUARI,2023
85,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",462,ORANG,MARET,2023
86,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",929,ORANG,MARET,2023
87,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,156,ORANG,MARET,2023
88,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,118,ORANG,MARET,2023
89,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,70,ORANG,MARET,2023
90,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,67,ORANG,MARET,2023
91,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",374,ORANG,APRIL,2023
92,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",771,ORANG,APRIL,2023
93,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,109,ORANG,APRIL,2023
94,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,85,ORANG,APRIL,2023
95,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,48,ORANG,APRIL,2023
96,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,78,ORANG,APRIL,2023
97,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",476,ORANG,MEI,2023
98,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1023,ORANG,MEI,2023
99,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,144,ORANG,MEI,2023
100,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,131,ORANG,MEI,2023
101,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,67,ORANG,MEI,2023
102,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,89,ORANG,MEI,2023
103,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",434,ORANG,JUNI,2023
104,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",908,ORANG,JUNI,2023
105,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,118,ORANG,JUNI,2023
106,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,127,ORANG,JUNI,2023
107,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,62,ORANG,JUNI,2023
108,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,86,ORANG,JUNI,2023
109,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",487,ORANG,JULI,2023
110,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",996,ORANG,JULI,2023
111,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,129,ORANG,JULI,2023
112,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,115,ORANG,JULI,2023
113,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,69,ORANG,JULI,2023
114,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,78,ORANG,JULI,2023
115,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",399,ORANG,AGUSTUS,2023
116,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",653,ORANG,AGUSTUS,2023
